(1245609433989, 9576851097969)
(4032864012375, 7233622410080)
(12121748744376, 14402343843912)
(14402343843914, 17870382168258)
(22817979466608, 28994598608416)
(28994598608417, 28994598608417)
(31136245008643, 34992019493046)
(31136245008643, 39136626335803)
(44167383712018, 47037128335223)
(47037128335223, 47037128335223)
(51656912408630, 56145142573189)
(53356102966011, 59629561837009)
(63046119399693, 67090818321013)
(63046119399693, 67090818321013)
(73668770982949, 73668770982949)
(73668770982949, 77804794297319)
(81322256364416, 85706693390523)
(85706693390524, 90013380528877)
(90582621242401, 91107574772819)
(90582621242401, 91338323210426)
(91641847088106, 91850003245923)
(92296000813027, 93148248408815)
(93264851899835, 93530746604345)
(94173168030842, 94350530670819)
(94551574034511, 94786141284248)
(94551574034511, 94786141284248)
(94786141284248, 95663575055329)
(95663575055329, 96129715139644)
(96129715139644, 96633400526822)
(96129715139644, 96633400526822)
(96633400526822, 97232530712298)
(97657731149889, 97859240829054)
(97859240829054, 98437826689947)
(98437826689947, 99047307620170)
(98640412516209, 99346152136859)
(98948089663042, 99614440299599)
(99047307620170, 99346152136859)
(99614440299599, 99872395256849)
(103336067976093, 106199698039579)
(110703393372104, 112205432005436)
(111866183522214, 113273176055257)
(112592260910023, 113826195742422)
(113663372885939, 115053004784573)
(114440350303803, 115672332153405)
(115543764377261, 116786559706685)
(116452330923307, 117805109761001)
(117205455156164, 118418043066992)
(118018135435885, 119572154775897)
(119206534397021, 120255774175238)
(121695804279947, 129348972503898)
(125115246194792, 129348972503898)
(134265415033382, 134265415033382)
(134265415033383, 139508331887352)
(142047130219563, 146366508599969)
(144253395965270, 149305610506390)
(151362657251612, 158679087319417)
(158679087319418, 158679087319418)
(162604929528375, 164731451918117)
(162604929528375, 167930549480823)
(174903915595077, 179677051123532)
(182008176095704, 185508331435210)
(185508331435211, 188777536430484)
(191475728051128, 193694293552840)
(192833184039983, 195681751089649)
(195072090150053, 197321945858343)
(196130091177561, 199198001020034)
(198324140693405, 200808835030122)
(201226411468362, 201942097489401)
(201353075590107, 202110805777472)
(201677634524409, 202496265597198)
(201942097489401, 202496265597198)
(202110805777472, 202496265597198)
(202110805777472, 203009638473005)
(203400968746464, 204019487861231)
(203614075746130, 204149278347242)
(204662450655015, 205279526289942)
(205279526289942, 205953905281669)
(205654324685024, 206235926176692)
(206672498228393, 207200210526602)
(206672498228393, 207414744849729)
(207200210526602, 207813945061252)
(208170131601586, 208621028156547)
(208541118649177, 208879319873699)
(208621028156547, 209415014085108)
(209210772925915, 209415014085108)
(209415014085108, 209789763886902)
(210485673582267, 210770196208115)
(214435179565103, 217049361239365)
(217049361239365, 217049361239365)
(222385409645141, 229491506157890)
(225770499162927, 226446570767750)
(234803686972144, 234803686972144)
(234803686972144, 239305292477674)
(241787807263783, 247407127385223)
(247407127385225, 248594486459736)
(255798213871967, 255798213871967)
(255798213871968, 259809960810501)
(263966479879883, 268587217893035)
(263966479879883, 268587217893035)
(273004447889652, 280622095948246)
(275729955642767, 280622095948246)
(282160547171438, 288026016998667)
(284481668168678, 291194003734095)
(294534513811238, 297573021250408)
(294534513811238, 301115593561761)
(301948655883416, 303027957137590)
(302768849032641, 304192703468138)
(303526965628921, 305026602533239)
(304642525392443, 305980428896202)
(305491782697112, 306668790674738)
(306427912306425, 307851417603359)
(307333643021522, 308710425117041)
(308140930478075, 309670992823154)
(308982094563307, 310339944666558)
(310157086992948, 311509511747499)
(315950527359728, 318923326149596)
(318923326149596, 318923326149596)
(322262707029334, 329975739146843)
(322262707029334, 329975739146843)
(334369499913717, 337363029840888)
(337363029840889, 340978712090850)
(344177441001707, 346577632492871)
(346577632492873, 350358496806643)
(355658897825924, 359808223197946)
(359808223197947, 359808223197947)
(365399572939090, 365399572939090)
(365399572939091, 368225585168507)
(376010888093960, 380559088170455)
(383833843682963, 390638012193847)
(386638563082652, 388460871197227)
(394634765071775, 394634765071775)
(394634765071775, 399127645797050)
(402818972650629, 403030049102670)
(403258321208611, 403522282263257)
(404986426240162, 405346481769986)
(404986426240162, 405812944616976)
(405812944616976, 406257089341655)
(406050837894986, 406257089341655)
(407270592132056, 407427212012059)
(407270592132056, 407820536492277)
(409727392925435, 410233757004773)
(410233757004773, 410848935322178)
(414077945349115, 420955395491866)
(417381819909889, 420955395491866)
(425708066360711, 427921597758850)
(427921597758850, 427921597758850)
(434772789898622, 436278045921496)
(434772789898622, 440308164885524)
(444378203769203, 448362956832076)
(445860162746824, 451842208426076)
(456106241767143, 461205217948227)
(456106241767143, 461205217948227)
(462775491294940, 463582889113120)
(463357434151967, 464064118008889)
(463582889113120, 464064118008889)
(463582889113120, 464321267689807)
